FRED ENGNESS,FRED ENGNESS (FL),801/801 Singles/Doubles Points BEGINNER
FRED FULLER,FRED FULLER (NC),1800/1800 Singles/Doubles Points AMATEUR
FRED GONZALES,FRED GONZALES (CO),1800/1800 Singles/Doubles Points AMATEUR
FRED GOWER,FRED GOWER (CAN),1800/1832 Singles/Doubles Points AMATEUR
Fred Guensburg,Fred Guensburg (WI),800/800 Singles/Doubles Points BEGINNER
FRED HAGGERSON,FRED HAGGERSON (TX),1800/1800 Singles/Doubles Points AMATEUR
FRED HAGHJOU,FRED HAGHJOU (TX),1800/1800 Singles/Doubles Points AMATEUR
FRED HILL,FRED HILL (IL),1600/1600 Singles/Doubles Points AMATEUR
FRED JOHNSON,FRED JOHNSON (NV),1800/1800 Singles/Doubles Points AMATEUR
FRED LANGHAM,FRED LANGHAM (TX),1800/1800 Singles/Doubles Points AMATEUR
FRED LESTER,FRED LESTER (TX),1600/1600 Singles/Doubles Points AMATEUR
FRED MCMEANS,FRED MCMEANS (TX),1800/1800 Singles/Doubles Points AMATEUR
FRED MOTT,FRED MOTT (FL),1800/1800 Singles/Doubles Points AMATEUR
FRED PALMER,FRED PALMER (LA),1800/1800 Singles/Doubles Points AMATEUR
Fred Pomeroy,Fred Pomeroy (MI),1182/1182 Singles/Doubles Points ROOKIE
FRED QUAN,FRED QUAN (CAN),1692/1652 Singles/Doubles Points AMATEUR
FRED SAMUELS,FRED SAMUELS (FL),1800/1800 Singles/Doubles Points AMATEUR
FRED SCOTT,FRED SCOTT (MO),1182/1182 Singles/Doubles Points ROOKIE
FRED SCOTT,FRED SCOTT (MO),1182/1182 Singles/Doubles Points ROOKIE
FRED SHERMAN,FRED SHERMAN (AL),1800/1849 Singles/Doubles Points AMATEUR
Fred Spence,Fred Spence (Quebec),1182/1182 Singles/Doubles Points ROOKIE
FRED TORRES,FRED TORRES (CA),1182/1182 Singles/Doubles Points ROOKIE
FREDDIE ALDANA,FREDDIE ALDANA (AL),1800/1800 Singles/Doubles Points AMATEUR
FREDDIE GOMEZ,FREDDIE GOMEZ (TX),1600/1734 Singles/Doubles Points AMATEUR
FREDDIE SHANKS,FREDDIE SHANKS (KY),400/400 Singles/Doubles Points JUNIOR AMATEUR
FREDDIE TYLER,FREDDIE TYLER (TX),1600/1600 Singles/Doubles Points AMATEUR
FREDDIE YOUNG,FREDDIE YOUNG (OK),1800/1800 Singles/Doubles Points AMATEUR
Freddy Aldana,Freddy Aldana (TX),801/801 Singles/Doubles Points BEGINNER
FREDDY JANSSEN,FREDDY JANSSEN (NL),1800/1800 Singles/Doubles Points AMATEUR
FREDDY PLANK,FREDDY PLANK (GA),1800/1800 Singles/Doubles Points AMATEUR
FREDERIC BOCQUET,FREDERIC BOCQUET (FR),1800/1800 Singles/Doubles Points AMATEUR
FREDERIC BOURGEOIS,FREDERIC BOCQUET (FR),1800/1800 Singles/Doubles Points AMATEUR
FREDERIC COLLIGNON,FREDERIC BOURGEOIS (BE),1800/1800 Singles/Doubles Points AMATEUR
FREDERIC FLEUROT,FREDERIC FLEUROT (),3500/3500 Singles/Doubles Points PRO
Frederic Hadorn,FREDERIC FLEUROT (),3500/3500 Singles/Doubles Points PRO
Frederic TRAVERS,Frederic Hadorn (),2600/2600 Singles/Doubles Points EXPERT
FREDERICK SCOTT,FREDERICK SCOTT (PA),1800/1800 Singles/Doubles Points AMATEUR
FRIEDEE SCHMITZ,FRIEDEE SCHMITZ (GE),1800/1800 Singles/Doubles Points AMATEUR
Friederike Kahle,FRIEDERIKE KAHLE (GA),1800/1800 Singles/Doubles Points / Women's Singles/Doubles Points
FRIEDERIKE KAHLE,FRIEDERIKE KAHLE (GA),1800/1800 Singles/Doubles Points / Women's Singles/Doubles Points
Friedrich Kircher,Friedrich Kircher (Darmstadt),2100/2100 Singles/Doubles Points EXPERT
Fritz Bollmann,Fritz Bollmann (),1600/1600 Singles/Doubles Points AMATEUR
FRITZ HAGGERSON,FRITZ C HAGGERSON (NC),1182/1182 Singles/Doubles Points ROOKIE
