GEOFF SCARCHILLI,GEOFF SCARCHILLI (NY),2418/2601 Singles/Doubles Points EXPERT
GEOFF SEDERBERG,GEOFF SEDERBERG (CO),1800/1800 Singles/Doubles Points AMATEUR
Geoff Wexler,Geoff Wexler (OH),801/801 Singles/Doubles Points BEGINNER
Geoffrey Plucinik,Geoffrey Plucinik (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
Georg Birrer,Georg Birrer (),1600/1600 Singles/Doubles Points AMATEUR
Georg Klapp,Georg Klapp (Mülheim),1600/1600 Singles/Doubles Points AMATEUR
GEORGE ALLEE,GEORGE ALLEE (MA),1182/1182 Singles/Doubles Points ROOKIE
GEORGE ANDERSON,GEORGE ANDERSON (CA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE BAIER,GEORGE BAIER (NY),801/801 Singles/Doubles Points BEGINNER
GEORGE BALLEK,GEORGE BALLEK (CT),1182/1182 Singles/Doubles Points ROOKIE
GEORGE BARNARD,GEORGE BARNARD (MD),1182/1182 Singles/Doubles Points ROOKIE
George Barta,George Barta (WA),1149/1692 Singles/Doubles Points AMATEUR
GEORGE BECK,GEORGE BECK (CO),1800/1800 Singles/Doubles Points AMATEUR
George BEEBER,George BEEBER (KY),817/816 Singles/Doubles Points BEGINNER
GEORGE BERNICO,GEORGE BERNICO (FL),1800/1800 Singles/Doubles Points AMATEUR
GEORGE BERNICO III,GEORGE BERNICO (FL),1800/1800 Singles/Doubles Points AMATEUR
GEORGE BONAR,GEORGE BERNICO III (WI),1800/1800 Singles/Doubles Points AMATEUR
GEORGE BOUDREAUX,GEORGE BOUDREAUX (MO),1800/1800 Singles/Doubles Points AMATEUR
GEORGE BOURGOIS,GEORGE BOURGOIS (NY),1800/1800 Singles/Doubles Points AMATEUR
George Burgess,George Burgess (NE),800/800 Singles/Doubles Points BEGINNER
GEORGE CALDWELL,GEORGE CALDWELL (MA),1182/1182 Singles/Doubles Points ROOKIE
GEORGE CLEM,GEORGE CLEM (TX),1182/1182 Singles/Doubles Points ROOKIE
GEORGE COUTURE,GEORGE COUTURE (MA),1182/1182 Singles/Doubles Points ROOKIE
George Demers,George Demers (MD),801/801 Singles/Doubles Points BEGINNER
GEORGE DIACOLOUKAS,GEORGE DIACOLOUKAS (MD),1182/1182 Singles/Doubles Points ROOKIE
GEORGE ECCLESTON,GEORGE ECCLESTON (CT),1182/1182 Singles/Doubles Points ROOKIE
GEORGE EID,GEORGE EID (England),1600/1600 Singles/Doubles Points AMATEUR
GEORGE GAGALASINA,GEORGE GAGALASINA (CA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE GARBER,GEORGE GARBER (TX),2252/2450 Singles/Doubles Points EXPERT
GEORGE GUZMAN,GEORGE GUZMAN (FL),1844/1892 Singles/Doubles Points AMATEUR
GEORGE HARVEY,GEORGE HARVEY (TX),1800/1800 Singles/Doubles Points AMATEUR
GEORGE HENDERSON,GEORGE HENDERSON (TX),1182/1182 Singles/Doubles Points ROOKIE
GEORGE HERNANDEZ,GEORGE HERNANDEZ (AZ),1800/1800 Singles/Doubles Points AMATEUR
GEORGE HOFFMAN,GEORGE HOFFMAN (LA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE HUGHES,GEORGE HUGHES (FL),1800/1800 Singles/Doubles Points AMATEUR
GEORGE KAMALY,GEORGE KAMALY (GE),1800/1800 Singles/Doubles Points AMATEUR
GEORGE KAPITZ,GEORGE KAPITZ (WI),1800/1800 Singles/Doubles Points AMATEUR
GEORGE KOSMACH,GEORGE KOSMACH (TX),1800/1800 Singles/Doubles Points AMATEUR
GEORGE KOUKIOS,GEORGE KOUKIOS (MI),1182/1182 Singles/Doubles Points ROOKIE
George Losonsky,George Losonsky (AL),1182/1182 Singles/Doubles Points ROOKIE
GEORGE LOUCKS,GEORGE LOUCKS (NY),1800/1800 Singles/Doubles Points AMATEUR
GEORGE LYNCH,GEORGE LYNCH (FL),1182/1182 Singles/Doubles Points ROOKIE
GEORGE MAIN,GEORGE MAIN (CA),1800/1800 Singles/Doubles Points AMATEUR
George Malkovich,George Malkovich (TX),1001/1001 Singles/Doubles Points ROOKIE
GEORGE MARCOTTE,GEORGE MARCOTTE (LA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE MARTINEZ,GEORGE MARTINEZ (NM),1800/1800 Singles/Doubles Points AMATEUR
GEORGE MITCHELL,GEORGE MITCHELL (MO),1182/1182 Singles/Doubles Points ROOKIE
GEORGE NICHOL,GEORGE NICHOL (CA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE PARR,GEORGE PARR (LA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE PETROHELOUS,GEORGE PETROHELOUS (IL),1800/1800 Singles/Doubles Points AMATEUR
GEORGE PETTIT,GEORGE E PETTIT (OH),1182/1182 Singles/Doubles Points ROOKIE
George Plucinik,George Plucinik (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
GEORGE PORTER,GEORGE PORTER (WA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE RIOLO,GEORGE RIOLO (CA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE RODENOUS,GEORGE RODENOUS (NY),1182/1182 Singles/Doubles Points ROOKIE
GEORGE ROGERS,GEORGE ROGERS (IL),1800/1800 Singles/Doubles Points AMATEUR
GEORGE SANTOS,GEORGE SANTOS (CO),1800/1800 Singles/Doubles Points AMATEUR
George Sarkees,George Sarkees (FL),1182/1182 Singles/Doubles Points ROOKIE
GEORGE SARTAIN,GEORGE SARTAIN (TX),1800/1800 Singles/Doubles Points AMATEUR
GEORGE SROUR,GEORGE SROUR (MI),2368/2380 Singles/Doubles Points EXPERT
GEORGE STONER,GEORGE STONER (GA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE THOMPSON,GEORGE THOMPSON (KY),801/801 Singles/Doubles Points BEGINNER
GEORGE TRABUCCI,GEORGE TRABUCCI (CT),1182/1182 Singles/Doubles Points ROOKIE
GEORGE VALDEZ,GEORGE VALDEZ (CA),1800/1800 Singles/Doubles Points AMATEUR
GEORGE WELYCZKOWSKY,GEORGE WELYCZKOWSKY (TX),1800/1800 Singles/Doubles Points AMATEUR
GEORGE WESTAD,GEORGE WESTAD (NY),1800/1800 Singles/Doubles Points AMATEUR
GEORGE WIESE,GEORGE WIESE (IN),1182/1182 Singles/Doubles Points ROOKIE
GEORGE WILLIAMS,GEORGE WILLIAMS (MO),1800/1800 Singles/Doubles Points AMATEUR
Geovanny Quiros,Geovanny Quiros (CR),1564/1836 Singles/Doubles Points AMATEUR
GERAD SIMPSON,GERAD SIMPSON (GA),1800/1800 Singles/Doubles Points AMATEUR
GERALD CASTILLO,GERALD CASTILLO (NM),1800/1800 Singles/Doubles Points AMATEUR
GERALD FAIN,GERALD FAIN (KY),1800/1800 Singles/Doubles Points AMATEUR
Gerald Gollinger,Gerald Gollinger (),3050/2500 Singles/Doubles Points PRO
GERALD GREER,GERALD GREER (OK),1800/1800 Singles/Doubles Points AMATEUR
Gerald Labat,Gerald Labat (LA),801/801 Singles/Doubles Points BEGINNER
Gerald Lang,Gerald Lang (Rüsselsheim),1600/1600 Singles/Doubles Points AMATEUR
GERALD SMITH,GERALD SMITH (MS),1182/1182 Singles/Doubles Points ROOKIE
GERALD TREGLIO,GERALD TREGLIO (NV),2264/2264 Singles/Doubles Points EXPERT
GERALD YARBROUGH,GERALD YARBROUGH (AL),1182/1182 Singles/Doubles Points ROOKIE
Geraldine Fiske,Geraldine Fiske (Köln),1600/1600 Singles/Doubles Points AMATEUR
GERARD RICHARD,GERARD RICHARD (NY),1800/1800 Singles/Doubles Points AMATEUR
GERARDO ALVARADO SOTO,GERARDO ALVARADO SOTO (CR),1800/1800 Singles/Doubles Points AMATEUR
GERARDO JAIME,GERARDO JAIME (TX),2598/2272 Singles/Doubles Points EXPERT
GERARDO PADILLA,GERARDO PADILLA (TX),1800/1800 Singles/Doubles Points AMATEUR
GERARDO VALENCIANO,GERARDO VALENCIANO (CR),1832/1780 Singles/Doubles Points AMATEUR
GERDA DALTON,GERDA DALTON (TX),1800/1800 Singles/Doubles Points AMATEUR
Gerhard Tepper,Gerhard Tepper (),1600/1600 Singles/Doubles Points AMATEUR
GERI STORER,GERI STORER (ID),1800/1800 Singles/Doubles Points AMATEUR
German Schultis,German Schultis (),1600/1600 Singles/Doubles Points AMATEUR
Gero Liermann,Gero Liermann (),1600/1600 Singles/Doubles Points AMATEUR
GERRIE WILSON,GERRIE WILSON (NY),1800/1800 Singles/Doubles Points AMATEUR
GERRY DELASANDRO,GERRY DELASANDRO (NY),1800/1800 Singles/Doubles Points AMATEUR
Gerry Hayes,"Gerry ""Sumner"" Hayes (VA)",1182/1182 Singles/Doubles Points ROOKIE
GERRY HERRING,GERRY HERRING (MS),1800/1800 Singles/Doubles Points AMATEUR
GERRY HUGHES,GERRY HUGHES (TX),1800/1800 Singles/Doubles Points AMATEUR
GERRY KRUEGER,GERRY KRUEGER (MN),1800/1800 Singles/Doubles Points AMATEUR
GERRY MEISTER,GERRY MEISTER (CAN),2964/2968 Singles/Doubles Points EXPERT
GERRY SEXTON,GERRY SEXTON (VT),1182/1182 Singles/Doubles Points ROOKIE
GERT LOTERMAN,GERT LOTERMAN (BE),1800/1800 Singles/Doubles Points AMATEUR
Geza Kiss,Geza Kiss (HU),3184/3108 Singles/Doubles Points PRO
GHAPPY BERNAL,GHAPPY BERNAL (TX),1800/1800 Singles/Doubles Points AMATEUR
Giammarino Stammera,Giammarino Stammera (Mondercange),2100/2100 Singles/Doubles Points EXPERT
GIANG HO,GIANG HO (TX),1800/1800 Singles/Doubles Points AMATEUR
Giani Lombris,Giani Lombris (Haldenstein),1600/1600 Singles/Doubles Points AMATEUR
GIANMARTIN GARICA,GIANMARTIN GARICA (CA),1800/1800 Singles/Doubles Points AMATEUR
GIL ALBANESE,GIL ALBANESE (LA),1182/1182 Singles/Doubles Points ROOKIE
GIL ALCANTARA,GIL ALCANTARA (CA),1800/1800 Singles/Doubles Points AMATEUR
GIL CURRY,GIL CURRY (TX),1800/1800 Singles/Doubles Points AMATEUR
GIL MACDONALD,GIL MACDONALD (TX),1800/1800 Singles/Doubles Points AMATEUR
GIL SANCHEZ,GIL SANCHEZ (LA),1820/1808 Singles/Doubles Points AMATEUR
GILBERT CURETTI,GILBERT CURETTI (FR),1800/1800 Singles/Doubles Points AMATEUR
GILBERT GONZALEZ,GILBERT GONZALEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
GILBERT JUAREZ,GILBERT JUAREZ (CA),1800/1800 Singles/Doubles Points AMATEUR
GILBERT LOPEZ,GILBERT LOPEZ (NM),2130/1864 Singles/Doubles Points EXPERT
GILBERT PERALTA,GILBERT PERALTA (NM),1800/1800 Singles/Doubles Points AMATEUR
GILBERT PEREZ,GILBERT PEREZ (TX),1800/1800 Singles/Doubles Points AMATEUR
GILBERT SAUCEDO,GILBERT SAUCEDO (TX),1182/1182 Singles/Doubles Points ROOKIE
Gilbert Seager,Gilbert Seager (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
Gilbert Torres,GILBERT TORRES (CA),1800/1800 Singles/Doubles Points AMATEUR
GILBERT TORRES,GILBERT TORRES (CA),1800/1800 Singles/Doubles Points AMATEUR
Gilles Bloch,Gilles Bloch (Belgium),2350/2344 Singles/Doubles Points EXPERT
Gilles Bloch,Gilles Bloch (Belgium),2350/2344 Singles/Doubles Points EXPERT
Gilles Evers,Gilles Evers (Kleve),1900/1900 Singles/Doubles Points AMATEUR
GILLES PERRIN,GILLES PERRIN (CH),3100/3100 Singles/Doubles Points PRO
GINA BRAUN,GINA BRAUN (LA),1800/1800 Singles/Doubles Points AMATEUR
GINA CHELSTROM,GINA CHELSTROM (CA),1800/1800 Singles/Doubles Points AMATEUR
GINA REILLY,GINA REILLY (CO),1800/1800 Singles/Doubles Points AMATEUR
GINGER BRICKER,GINGER BRICKER (OK),1800/1800 Singles/Doubles Points AMATEUR
GINGER NICHOLS,GINGER NICHOLS (TX),1800/1800 Singles/Doubles Points / Women's Singles/Doubles Points
GINNY FURMANEK,GINNY FURMANEK (CA),1800/1800 Singles/Doubles Points AMATEUR
GINO VAN GESTEL,GINO VAN GESTEL (NL),1800/1800 Singles/Doubles Points AMATEUR
Giovanna Kaplan,Giovanna Kaplan (),1600/1600 Singles/Doubles Points AMATEUR
GIOVANNY GONZALES,GIOVANNY GONZALES (CR),1800/1800 Singles/Doubles Points AMATEUR
Giuliano Bentivoglio,Giuliano Bentivoglio (BE),3196/3224 Singles/Doubles Points PRO
Giuliano Montanaro,Giuliano Montanaro (),2600/2600 Singles/Doubles Points EXPERT
GIUSEPPE REPICI,GIUSEPPE REPICI (SW),1800/1800 Singles/Doubles Points AMATEUR
GJ LOPEZ,GJ LOPEZ (NM),801/801 Singles/Doubles Points BEGINNER
GkamRoop Singh Deol,GkamRoop Singh Deol (IN),800/800 Singles/Doubles Points BEGINNER
GLADIS DUBINICK,GLADIS DUBINICK (MO),1182/1182 Singles/Doubles Points ROOKIE
GLEN ALLEN,GLEN ALLEN (LA),1800/1800 Singles/Doubles Points AMATEUR
GLEN BAILEY,GLEN BAILEY (MS),1182/1182 Singles/Doubles Points ROOKIE
GLEN BAYLESS,GLEN BAYLESS (WI),1800/1800 Singles/Doubles Points AMATEUR
GLEN BEAUCHAMP,GLEN BEAUCHAMP (TX),2264/2264 Singles/Doubles Points EXPERT
GLEN BERG,GLEN BERG (OR),1800/1800 Singles/Doubles Points AMATEUR
GLEN JOHNSON,GLEN JOHNSON (SD),1800/1800 Singles/Doubles Points AMATEUR
GLEN JONES,GLEN JONES (OH),1182/1182 Singles/Doubles Points ROOKIE
GLEN KEPLINGER,GLEN KEPLINGER (TN),1800/1800 Singles/Doubles Points AMATEUR
GLEN KHUSHALANY,GLEN KHUSHALANY (CA),1800/1800 Singles/Doubles Points AMATEUR
GLEN OGREN,GLEN OGREN (ID),1800/1800 Singles/Doubles Points AMATEUR
GLEN OWENS,GLEN OWENS (TX),1800/1800 Singles/Doubles Points AMATEUR
GLEN REED,GLEN REED (CA),1800/1800 Singles/Doubles Points AMATEUR
Glen Spalding,Glen Spalding (KY),801/801 Singles/Doubles Points BEGINNER
GLEN SWEETSER,GLEN SWEETSER (NH),1182/1182 Singles/Doubles Points ROOKIE
GLEN THODE,GLEN THODE (MD),1182/1182 Singles/Doubles Points ROOKIE
GLEN WALES,GLEN WALES (IL),1800/1800 Singles/Doubles Points AMATEUR
GLEN WELLS,GLEN WELLS (KY),1182/1182 Singles/Doubles Points ROOKIE
GLEN WHITE,GLEN WHITE (MS),1182/1182 Singles/Doubles Points ROOKIE
GLEN YAMADA,GLEN YAMADA (AZ),1800/1800 Singles/Doubles Points AMATEUR
Glenn Arceneaux,Glenn Arceneaux (LA),1800/1800 Singles/Doubles Points AMATEUR
GLENN BABINEAU,GLENN BABINEAU (NY),1182/1182 Singles/Doubles Points ROOKIE
GLENN CARTER,GLENN CARTER (CO),1856/1839 Singles/Doubles Points AMATEUR
GLENN CONLIN,GLENN CONLIN (NY),1800/1800 Singles/Doubles Points AMATEUR
GLENN FLURY,GLENN FLURY (IA),1800/1800 Singles/Doubles Points AMATEUR
GLENN GILL,GLENN GILL (TX),1800/1800 Singles/Doubles Points AMATEUR
GLENN GIOS,GLENN GIOS (TX),1800/1800 Singles/Doubles Points AMATEUR
GLENN JANG,GLENN JANG (CA),1800/1800 Singles/Doubles Points AMATEUR
GLENN KASTNOR,GLENN KASTNOR (CO),1182/1182 Singles/Doubles Points ROOKIE
GLENN LEBLANC,GLENN LEBLANC (LA),1800/1800 Singles/Doubles Points AMATEUR
GLENN SAIN,GLENN SAIN (MD),1182/1182 Singles/Doubles Points ROOKIE
GLENN SANDERS,GLENN SANDERS (GA),1182/1182 Singles/Doubles Points ROOKIE
GLENN SHECKELLS,GLENN SHECKELLS (MD),1800/1800 Singles/Doubles Points AMATEUR
GLENN TISSYCHY,GLENN TISSYCHY (OK),1800/1800 Singles/Doubles Points AMATEUR
GLENN VECQUERAY,GLENN VECQUERAY (CO),1800/1800 Singles/Doubles Points AMATEUR
GLENN YOKOI,GLENN YOKOI (CA),1182/1182 Singles/Doubles Points ROOKIE
Glenn Zuckerman,Glenn Zuckerman (NC),2276/3016 Singles/Doubles Points PRO
GONZALO GONZALEZ,GONZALO GONZALEZ (NM),1182/1182 Singles/Doubles Points ROOKIE
GOODY GUTTZEIT,GOODY GUTTZEIT (LA),1800/1800 Singles/Doubles Points AMATEUR
Goran Erceg,Goran Erceg (),1900/1900 Singles/Doubles Points AMATEUR
Gordia Greulich,Gordia Greulich (),1600/1600 Singles/Doubles Points AMATEUR
GORDON ALBERT JR.,GORDON ALBERT JR. (TX),1800/1800 Singles/Doubles Points AMATEUR
GORDON BEST,GORDON BEST (AZ),1800/1800 Singles/Doubles Points AMATEUR
GORDON CHANG,GORDON CHANG (CA),1800/1800 Singles/Doubles Points AMATEUR
GORDON DALTAS,GORDON DALTAS (TX),1800/1800 Singles/Doubles Points AMATEUR
Gordon Dalton,Gordon Dalton (MO),1800/1800 Singles/Doubles Points AMATEUR
GORDON FURUTO JR,GORDON FURUTO JR (HI),1800/1800 Singles/Doubles Points AMATEUR
GORDON GABRIELSON,GORDON GABRIELSON (MN),1800/1800 Singles/Doubles Points AMATEUR
GORDON GMELIN,GORDON GMELIN (CA),1800/1800 Singles/Doubles Points AMATEUR
GORDON MERCER,GORDON MERCER (VA),1182/1182 Singles/Doubles Points ROOKIE
GORDON NEVE,GORDON NEVE (WI),1800/1874 Singles/Doubles Points AMATEUR
GORDON ONDERDONK,GORDON ONDERDONK (FL),1182/1182 Singles/Doubles Points ROOKIE
GORDON ORMAND,GORDON ORMAND (TX),1800/1800 Singles/Doubles Points AMATEUR
GORDON SHEDD,GORDON SHEDD (NC),1800/1800 Singles/Doubles Points AMATEUR
GORDON WHITE,GORDON WHITE (FL),1182/1182 Singles/Doubles Points ROOKIE
GORDY BELL,GORDY BELL (LA),1800/1800 Singles/Doubles Points AMATEUR
GORDY GRETTZKOW,GORDY GRETTZKOW (WI),1800/1800 Singles/Doubles Points AMATEUR
GORDY NICHOLS,GORDY NICHOLS (MI),1800/1800 Singles/Doubles Points AMATEUR
GRACE WATKINS,GRACE WATKINS (CO),1800/1800 Singles/Doubles Points AMATEUR
Grady Forgy,Grady Forgy (AR),801/801 Singles/Doubles Points BEGINNER
GRAESON LEWIS,GRAESON LEWIS (CO),1800/1800 Singles/Doubles Points AMATEUR
GRAHAM BROWN,GRAHAM BROWN (UK),1800/1800 Singles/Doubles Points AMATEUR
GRAHAM GODWIN,GRAHAM GODWIN (UK),1800/1800 Singles/Doubles Points AMATEUR
GRANGER BEEM,GRANGER BEEM (GA),1800/1800 Singles/Doubles Points AMATEUR
GRANT BALLARD,GRANT BALLARD (OK),1800/1800 Singles/Doubles Points AMATEUR
Grant Dorsey,Grant Dorsey (IN),1182/1182 Singles/Doubles Points ROOKIE
GRANT GRAY,GRANT GRAY (MS),1800/1800 Singles/Doubles Points AMATEUR
GRANT HOBBS,GRANT HOBBS (AR),1182/1182 Singles/Doubles Points ROOKIE
GRANT JAMES,GRANT JAMES (XX),1800/1800 Singles/Doubles Points AMATEUR
Grant Kling,Grant Kling (MO),801/801 Singles/Doubles Points BEGINNER
Grant Minnihan,Grant Minnihan (IL),800/800 Singles/Doubles Points BEGINNER
GRANT MORGAN,GRANT MORGAN (TN),1800/1800 Singles/Doubles Points AMATEUR
GRANT MORSE,GRANT MORSE (LA),1800/1800 Singles/Doubles Points AMATEUR
GRANT NELSON,GRANT NELSON (CO),3100/3100 Singles/Doubles Points PRO
Grant Oladipo,Grant Oladipo (CA),900/1200 Singles/Doubles Points ROOKIE
GRANT WILL,GRANT WILL (SD),1800/1800 Singles/Doubles Points AMATEUR
GRANT WINKER,GRANT WINKER (FL),1182/1182 Singles/Doubles Points ROOKIE
GRANT WYERS,GRANT WYERS (OR),1800/1800 Singles/Doubles Points AMATEUR
Greg Allen,Greg Allen (CO),1800/1800 Singles/Doubles Points AMATEUR
GREG ANDERSON,GREG ANDERSON (NE),1800/1800 Singles/Doubles Points AMATEUR
GREG ANTHONY,GREG ANTHONY (MI),1800/1987 Singles/Doubles Points AMATEUR
GREG BAMBENEK,GREG BAMBENEK (OH),1800/1800 Singles/Doubles Points AMATEUR
Greg Beaudion,Greg Beaudion (TX),1800/1800 Singles/Doubles Points AMATEUR
GREG BELL,GREG BELL (KY),1182/1182 Singles/Doubles Points ROOKIE
GREG BELL,GREG BELL (KY),1182/1182 Singles/Doubles Points ROOKIE
GREG BENAMATI,GREG BENAMATI (NY),1800/1800 Singles/Doubles Points AMATEUR
GREG BENNIS,GREG BENNIS (MN),1800/1800 Singles/Doubles Points AMATEUR
GREG BOOTH,GREG BOOTH (KS),1800/1800 Singles/Doubles Points AMATEUR
GREG BOSSANY,GREG BOSSANY (MN),1800/1800 Singles/Doubles Points AMATEUR
Greg Briggs,Greg Briggs (FL),801/833 Singles/Doubles Points BEGINNER
GREG BROOKS,GREG BROOKS (OK),1800/1800 Singles/Doubles Points AMATEUR
GREG BROWN,GREG BROWN (NY),1800/1800 Singles/Doubles Points AMATEUR
GREG C. WYLIE,GREG C. WYLIE (KS),1182/1182 Singles/Doubles Points ROOKIE
Greg Carruth,GREG C. WYLIE (KS),1182/1182 Singles/Doubles Points ROOKIE
GREG CARTER,Greg Carruth (GA),1182/1182 Singles/Doubles Points ROOKIE
GREG CHALK,GREG CHALK (OH),1182/1182 Singles/Doubles Points ROOKIE
GREG CHANEY,GREG CHANEY (MN),1800/1800 Singles/Doubles Points AMATEUR
GREG CHAVEZ,GREG CHAVEZ (TX),2073/1848 Singles/Doubles Points EXPERT
Greg Childress,Greg Childress (MS),1100/1100 Singles/Doubles Points ROOKIE
GREG CLINE,GREG CLINE (NC),1800/1800 Singles/Doubles Points AMATEUR
Greg Dean,Greg Dean (TX),801/801 Singles/Doubles Points BEGINNER
GREG DELIMAN,GREG DELIMAN (NY),1800/1800 Singles/Doubles Points AMATEUR
GREG DEWEESE,GREG DEWEESE (IN),1800/1800 Singles/Doubles Points AMATEUR
Greg Dietz,GREG DEWEESE (IN),1800/1800 Singles/Doubles Points AMATEUR
GREG DUNN,Greg Dietz (IL),1182/1182 Singles/Doubles Points ROOKIE
GREG EDWARDS,GREG EDWARDS (NC),1182/1182 Singles/Doubles Points ROOKIE
GREG EDWARDS,GREG EDWARDS (NC),1182/1182 Singles/Doubles Points ROOKIE
GREG ENYART,GREG ENYART (CA),1800/1800 Singles/Doubles Points AMATEUR
GREG ERTL,GREG ERTL (NY),1800/1800 Singles/Doubles Points AMATEUR
GREG EVANS,GREG EVANS (OH),1800/1800 Singles/Doubles Points AMATEUR
Greg FAUVER,Greg FAUVER (VA),811/811 Singles/Doubles Points BEGINNER
Greg Fisher,Greg Fisher (OH),801/801 Singles/Doubles Points BEGINNER
GREG FORGA,GREG FORGA (MN),1800/1800 Singles/Doubles Points AMATEUR
GREG FULLERTON,GREG FULLERTON (TX),1800/1800 Singles/Doubles Points AMATEUR
GREG FULSANG,GREG FULSANG (FL),1800/1800 Singles/Doubles Points AMATEUR
GREG GABBARD,GREG GABBARD (OH),1182/1182 Singles/Doubles Points ROOKIE
GREG GANYO,GREG GANYO (MN),1800/1800 Singles/Doubles Points AMATEUR
GREG GARDNER,GREG GARDNER (MD),1182/1182 Singles/Doubles Points ROOKIE
GREG GATEWOOD,GREG GARDNER (MD),1182/1182 Singles/Doubles Points ROOKIE
GREG GAUSTAD,GREG GATEWOOD (MS),1182/1182 Singles/Doubles Points ROOKIE
GREG GEORGE,GREG GEORGE (OK),1800/1800 Singles/Doubles Points AMATEUR
GREG GERBER,GREG GEORGE (OK),1800/1800 Singles/Doubles Points AMATEUR
GREG GIBSON,GREG GERBER (SD),1800/1800 Singles/Doubles Points AMATEUR
GREG GIBSON,GREG GIBSON (CO),801/801 Singles/Doubles Points BEGINNER
GREG GILBERT,GREG GILBERT (TX),1800/1800 Singles/Doubles Points AMATEUR
GREG GRAN,GREG GRAN (OK),1182/1182 Singles/Doubles Points ROOKIE
GREG GRAY,GREG GRAY (GE),1800/1800 Singles/Doubles Points AMATEUR
GREG GUYSINGER,GREG GUYSINGER (TX),1800/1800 Singles/Doubles Points AMATEUR
Greg Hagerman,Greg Hagerman (TX),1182/1182 Singles/Doubles Points ROOKIE
GREG HATFIELD,GREG HATFIELD (CO),1800/1800 Singles/Doubles Points AMATEUR
GREG HEARN,GREG HEARN (TX),1800/1800 Singles/Doubles Points AMATEUR
GREG HEBERT,GREG HEBERT (LA),801/801 Singles/Doubles Points BEGINNER
GREG HERBRANSON,GREG HERBRANSON (AZ),1800/1800 Singles/Doubles Points AMATEUR
GREG HESS,GREG HESS (VA),1828/1824 Singles/Doubles Points AMATEUR
GREG HINDS,GREG HINDS (WI),1800/1800 Singles/Doubles Points AMATEUR
GREG HOEMIG,GREG HOEMIG (CO),1182/1182 Singles/Doubles Points ROOKIE
GREG HOOVER,GREG HOOVER (WA),1800/1800 Singles/Doubles Points AMATEUR
GREG HOWELL,GREG HOWELL (MS),1182/1182 Singles/Doubles Points ROOKIE
GREG HUDGENS,GREG HUDGENS (IA),1996/1917 Singles/Doubles Points AMATEUR
GREG IRWIN,GREG IRWIN (PA),1800/1800 Singles/Doubles Points AMATEUR
Greg Jackson,Greg Jackson (TX),1998/2210 Singles/Doubles Points EXPERT
GREG KEARNS,GREG KEARNS (IN),1182/1182 Singles/Doubles Points ROOKIE
GREG KILKENNY,GREG KILKENNY (EN),1800/1800 Singles/Doubles Points AMATEUR
GREG KILMER,GREG KILMER (NY),1800/1800 Singles/Doubles Points AMATEUR
GREG KUMPULA,GREG KUMPULA (XX),1800/1800 Singles/Doubles Points AMATEUR
GREG LAMBRECHT,GREG LAMBRECHT (MA),1182/1182 Singles/Doubles Points ROOKIE
GREG LAMMON,GREG LAMMON (NY),1800/1800 Singles/Doubles Points AMATEUR
GREG LANBIRTH,GREG LANBIRTH (IN),1800/1800 Singles/Doubles Points AMATEUR
GREG LANTZ,GREG LANTZ (MA),1182/1182 Singles/Doubles Points ROOKIE
GREG LEBEAU,GREG LEBEAU (Quebec),1182/1182 Singles/Doubles Points ROOKIE
GREG LEMKE,GREG LEMKE (IN),1800/1800 Singles/Doubles Points AMATEUR
GREG LEWKOWSKI,GREG LEWKOWSKI (WA),1600/1600 Singles/Doubles Points AMATEUR
GREG LIBERATORE,GREG LIBERATORE (TX),1800/1800 Singles/Doubles Points AMATEUR
GREG LIEHR,GREG LIEHR (MN),1800/1800 Singles/Doubles Points AMATEUR
Greg Lisheid,Greg Lisheid (OH),1800/1800 Singles/Doubles Points AMATEUR
GREG LOTECKIE,GREG LOTECKIE (MO),1800/1800 Singles/Doubles Points AMATEUR
GREG MALLIET,GREG MALLIET (WI),1800/1800 Singles/Doubles Points AMATEUR
GREG MARCY,GREG MARCY (MA),1182/1182 Singles/Doubles Points ROOKIE
GREG MATHERNE,GREG MATHERNE (LA),1600/1608 Singles/Doubles Points AMATEUR
Greg McCann,Greg McCann (FL),1600/1600 Singles/Doubles Points AMATEUR
GREG MCLEOD,GREG MCLEOD (FL),1182/1182 Singles/Doubles Points ROOKIE
Greg Mendel,Greg Mendel (IN),3852/3869 Singles/Doubles Points PRO
Greg Mills,Greg Mills (FL),801/801 Singles/Doubles Points BEGINNER
GREG MORGAN,GREG MORGAN (SD),1800/1800 Singles/Doubles Points AMATEUR
Greg Naegle,Greg Naegle (WA),1182/1182 Singles/Doubles Points ROOKIE
GREG NILES,GREG NILES (MT),1800/1800 Singles/Doubles Points AMATEUR
GREG NORMAN,GREG NORMAN (VA),2166/2154 Singles/Doubles Points EXPERT
