BRIAN SALTALAMACCHIA,BRIAN SALTALAMACCHIA (LA),801/801 Singles/Doubles Points BEGINNER
BRIAN SALYERDS,BRIAN SALYERDS (NY),1800/1800 Singles/Doubles Points AMATEUR
BRIAN SANDAHL,BRIAN SANDAHL (TX),1800/1800 Singles/Doubles Points AMATEUR
BRIAN SARGE,BRIAN SARGE (FL),1182/1182 Singles/Doubles Points ROOKIE
BRIAN SCHRUNK,BRIAN SCHRUNK (CO),1965/2339 Singles/Doubles Points EXPERT
BRIAN SCRUGGS,BRIAN SCRUGGS (NC),801/801 Singles/Doubles Points BEGINNER
Brian Shanks,Brian Shanks (KS),1800/1800 Singles/Doubles Points AMATEUR
BRIAN SHAVER,BRIAN SHAVER (WI),1800/1800 Singles/Doubles Points AMATEUR
BRIAN SHELL,BRIAN SHELL (MO),2392/2629 Singles/Doubles Points EXPERT
BRIAN SHUBIRG,BRIAN SHUBIRG (IL),1800/1800 Singles/Doubles Points AMATEUR
BRIAN SLAGLE,BRIAN SLAGLE (NC),1800/1800 Singles/Doubles Points AMATEUR
BRIAN SPELTZ,BRIAN SPELTZ (IA),1800/1800 Singles/Doubles Points AMATEUR
BRIAN SPIEKER,BRIAN SPIEKER (AZ),1800/1800 Singles/Doubles Points AMATEUR
Brian Spindle,Brian Spindle (TX),1182/1182 Singles/Doubles Points ROOKIE
BRIAN SPIVEY,BRIAN SPIVEY (NC),1800/1800 Singles/Doubles Points AMATEUR
BRIAN STAADT,BRIAN STAADT (CO),1800/1800 Singles/Doubles Points AMATEUR
Brian Stabell,Brian Stabell (DE),800/800 Singles/Doubles Points BEGINNER
BRIAN STAVELEY,BRIAN STAVELEY (FL),1800/1800 Singles/Doubles Points AMATEUR
BRIAN STEMPLE,BRIAN STEMPLE (NY),1800/1800 Singles/Doubles Points AMATEUR
BRIAN STENE,BRIAN STENE (MN),1800/1800 Singles/Doubles Points AMATEUR
Brian Sternberg,Brian Sternberg (AZ),800/800 Singles/Doubles Points BEGINNER
BRIAN STINSON,BRIAN STINSON (OK),1800/1800 Singles/Doubles Points AMATEUR
BRIAN STOCK,BRIAN STOCK (UT),1800/1800 Singles/Doubles Points AMATEUR
BRIAN STRICKLAND,BRIAN STRICKLAND (KY),1182/1182 Singles/Doubles Points ROOKIE
BRIAN STUART,BRIAN STUART (CO),1800/1800 Singles/Doubles Points AMATEUR
BRIAN SWAUGER,BRIAN SWAUGER (OH),1182/1182 Singles/Doubles Points ROOKIE
BRIAN TAKAMOTO,BRIAN TAKAMOTO (CA),2700/2368 Singles/Doubles Points EXPERT
Brian Takeuchi,Brian Takeuchi (WA),801/899 Singles/Doubles Points BEGINNER
BRIAN TANAMACHI,BRIAN TANAMACHI (CA),1800/1800 Singles/Doubles Points AMATEUR
BRIAN TANKERSLEY,BRIAN TANKERSLEY (IN),2960/3241 Singles/Doubles Points PRO
Brian Tatge,Brian Tatge (MI),1182/1182 Singles/Doubles Points ROOKIE
BRIAN TENGE,BRIAN TENGE (IA),1800/1800 Singles/Doubles Points AMATEUR
BRIAN THOMPSON,BRIAN THOMPSON (IA),1800/1800 Singles/Doubles Points AMATEUR
Brian Truong,Brian Truong (UT),802/802 Singles/Doubles Points BEGINNER
BRIAN TURMAN,BRIAN TURMAN (VT),3016/3203 Singles/Doubles Points PRO
Brian Uytiepo,Brian Uytiepo (FL),1800/1800 Singles/Doubles Points AMATEUR
BRIAN VARNELL,BRIAN VARNELL (LA),1800/1800 Singles/Doubles Points AMATEUR
BRIAN VESSEL,BRIAN VESSEL (FL),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WAGONER,BRIAN WAGONER (IN),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WALKER,BRIAN WALKER (OH),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WALLER,BRIAN WALLER (NY),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WALLJASPER,BRIAN WALLJASPER (GA),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WAY,BRIAN WAY (CO),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WEINBERGER,BRIAN WEINBERGER (LA),2166/2166 Singles/Doubles Points EXPERT
BRIAN WESTCOTT,BRIAN WESTCOTT (NY),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WHITTAKER,BRIAN WHITTAKER (MS),1182/1182 Singles/Doubles Points ROOKIE
BRIAN WIEBER,BRIAN WIEBER (CA),1182/1182 Singles/Doubles Points ROOKIE
BRIAN WILLIAMS,BRIAN L WILLIAMS (OR),1992/1800 Singles/Doubles Points AMATEUR
BRIAN WILSON,BRIAN WILSON (CO),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WINIUS,BRIAN WINIUS (WI),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WOOD,BRIAN WOOD (NY),1800/1800 Singles/Doubles Points AMATEUR
BRIAN WOODS,BRIAN WOODS (IL),1800/1800 Singles/Doubles Points AMATEUR
