JEFF PERRY,JEFF PERRY (NY),1800/1800 Singles/Doubles Points AMATEUR
Jeff Persch,"Jeff ""Sluggo"" Persch (PA)",1182/1182 Singles/Doubles Points ROOKIE
JEFF PETERSEN,JEFF PETERSEN (CA),1182/1182 Singles/Doubles Points ROOKIE
Jeff Peterson,Jeff Peterson (TX),1001/1009 Singles/Doubles Points ROOKIE
JEFF PIATCHEK,JEFF PIATCHEK (MO),1182/1182 Singles/Doubles Points ROOKIE
JEFF PIKE,JEFF PIKE (NY),1800/1800 Singles/Doubles Points AMATEUR
Jeff Pipkin Junior,"Jeff ""pimpskinz"" Pipkin Junior (MT)",4433/4485 Singles/Doubles Points PRO
JEFF PIPKIN SENIOR,JEFF PIPKIN SENIOR (MT),1222/1214 Singles/Doubles Points ROOKIE
JEFF POINTER,JEFF POINTER (WA),1800/1800 Singles/Doubles Points AMATEUR
JEFF POMPE,JEFF POMPE (XX),1800/1800 Singles/Doubles Points AMATEUR
JEFF PORPER,JEFF POMPE (XX),1800/1800 Singles/Doubles Points AMATEUR
JEFF PORTER,JEFF PORPER (NY),1800/1800 Singles/Doubles Points AMATEUR
JEFF POTTO,JEFF POTTO (NY),1800/1800 Singles/Doubles Points AMATEUR
JEFF PRICARATO,JEFF PRICARATO (OH),1800/1800 Singles/Doubles Points AMATEUR
JEFF PRIMMER,JEFF PRIMMER (FL),1800/1800 Singles/Doubles Points AMATEUR
JEFF PRITCHARD,JEFF PRITCHARD (CA),1800/1800 Singles/Doubles Points AMATEUR
