RICH LONQUIL,RICH LONQUIL (NY),1800/1800 Singles/Doubles Points AMATEUR
Rich Loomis,Rich Loomis (AZ),801/801 Singles/Doubles Points BEGINNER
RICH MCARDLE,RICH MCARDLE (MO),1800/1800 Singles/Doubles Points AMATEUR
RICH NELSON,RICH NELSON (CO),1800/1800 Singles/Doubles Points AMATEUR
RICH PARSHALL,RICH PARSHALL (MO),1800/1800 Singles/Doubles Points AMATEUR
RICH PETERS,RICH PETERS (WI),1816/1800 Singles/Doubles Points AMATEUR
RICH RAYMER,RICH RAYMER (OH),1800/1800 Singles/Doubles Points AMATEUR
RICH REINHARDT,RICH REINHARDT (TX),1182/1182 Singles/Doubles Points ROOKIE
RICH REZBACH,RICH REZBACH (WI),1800/1800 Singles/Doubles Points AMATEUR
RICH SCHENK,RICH SCHENK (IL),1800/1800 Singles/Doubles Points AMATEUR
RICH SPARANO,RICH SPARANO (NY),1800/1800 Singles/Doubles Points AMATEUR
RICH STARK,RICH STARK (CO),1800/1800 Singles/Doubles Points AMATEUR
RICH SUKENIK,RICH SUKENIK (OH),1182/1182 Singles/Doubles Points ROOKIE
RICH VOLTZKE,RICH VOLTZKE (MN),1800/1800 Singles/Doubles Points AMATEUR
RICH WALLIS,RICH WALLIS (AR),1182/1182 Singles/Doubles Points ROOKIE
RICH WILLIAMS,RICH WILLIAMS (NY),1800/1800 Singles/Doubles Points AMATEUR
RICHARD AAMOZ,RICHARD AAMOZ (FL),1800/1800 Singles/Doubles Points AMATEUR
RICHARD ALLEN,RICHARD ALLEN (CA),1182/1182 Singles/Doubles Points ROOKIE
Richard andrew,Richard andrew (UT),800/800 Singles/Doubles Points BEGINNER
RICHARD ARCHER,RICHARD ARCHER (TX),1600/1600 Singles/Doubles Points AMATEUR
RICHARD ARENAS,RICHARD ARENAS (TX),1600/1600 Singles/Doubles Points AMATEUR
RICHARD BACA,RICHARD BACA (CO),1800/1800 Singles/Doubles Points AMATEUR
RICHARD BELLIVEAU,RICHARD BELLIVEAU (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD BEN CLEMONS,RICHARD BEN CLEMONS (TX),1600/1600 Singles/Doubles Points AMATEUR
RICHARD BERNSTEIN,RICHARD BERNSTEIN (OR),1800/1800 Singles/Doubles Points AMATEUR
RICHARD BERNSTEON,RICHARD BERNSTEIN (OR),1800/1800 Singles/Doubles Points AMATEUR
RICHARD BERTHIAUME,RICHARD BERNSTEON (AZ),1182/1182 Singles/Doubles Points ROOKIE
RICHARD BIBBIANI,RICHARD BIBBIANI (CT),1182/1182 Singles/Doubles Points ROOKIE
RICHARD BOES,RICHARD BOES (CT),1182/1182 Singles/Doubles Points ROOKIE
Richard Burnett,Richard Burnett (NY),800/800 Singles/Doubles Points BEGINNER
RICHARD BUSTILLOS,RICHARD BUSTILLOS (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD CAMPELL,RICHARD CAMPELL (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD CARR,RICHARD CARR (NJ),1800/1800 Singles/Doubles Points AMATEUR
RICHARD CARTWRIGHT,RICHARD CARTWRIGHT (OK),1182/1182 Singles/Doubles Points ROOKIE
RICHARD CASTILLO,RICHARD CASTILLO (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD CHAVEZ,RICHARD CHAVEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
Richard Chumley,Richard Chumley (GA),1182/1182 Singles/Doubles Points ROOKIE
RICHARD COCKRELL,RICHARD COCKRELL (MN),1800/1800 Singles/Doubles Points AMATEUR
RICHARD COCKROFT,RICHARD COCKROFT (MS),1800/1800 Singles/Doubles Points AMATEUR
RICHARD COEN,RICHARD COEN (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD CREWS,RICHARD CREWS (NC),3100/3100 Singles/Doubles Points PRO
RICHARD CROUCH,RICHARD CROUCH (ON),1800/1800 Singles/Doubles Points AMATEUR
RICHARD CRUSE,RICHARD CRUSE (TN),1800/1800 Singles/Doubles Points AMATEUR
Richard Dannenberg,Richard Dannenberg (PA),801/801 Singles/Doubles Points BEGINNER
Richard Darmohray,Richard Darmohray (TN),1182/1182 Singles/Doubles Points ROOKIE
Richard Darou,Richard Darou (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
RICHARD DEAN,RICHARD DEAN (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD DEFORD,RICHARD DEFORD (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD DOWNING,RICHARD DOWNING (FL),1800/1800 Singles/Doubles Points AMATEUR
RICHARD DUKE,RICHARD DUKE (KY),1182/1182 Singles/Doubles Points ROOKIE
RICHARD DUMITRI,RICHARD DUMITRI (TX),1182/1182 Singles/Doubles Points ROOKIE
RICHARD EDDIE,RICHARD EDDIE (OK),1800/1800 Singles/Doubles Points AMATEUR
RICHARD EDDINGTON,RICHARD EDDINGTON (AZ),1800/1800 Singles/Doubles Points AMATEUR
Richard Elceser,Richard Elceser (MO),801/801 Singles/Doubles Points BEGINNER
RICHARD ENRIQUEZ,RICHARD ENRIQUEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD FELL JR.,RICHARD FELL JR. (FL),1182/1182 Singles/Doubles Points ROOKIE
RICHARD FONTENOT,RICHARD FONTENOT (LA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD FOUNTAIN,RICHARD FOUNTAIN (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD GARZA,RICHARD GARZA (TX),1182/1182 Singles/Doubles Points ROOKIE
RICHARD GEHRLICH,RICHARD GEHRLICH (MD),1182/1182 Singles/Doubles Points ROOKIE
RICHARD GRAFT,RICHARD GRAFT (MO),1800/1800 Singles/Doubles Points AMATEUR
RICHARD GRASSER,RICHARD GRASSER (CO),1800/1800 Singles/Doubles Points AMATEUR
RICHARD GUERRA,RICHARD GUERRA (TX),801/801 Singles/Doubles Points BEGINNER
RICHARD HALLMARK,RICHARD HALLMARK (TX),1800/1800 Singles/Doubles Points AMATEUR
Richard Hardin,Richard Hardin (MS),801/801 Singles/Doubles Points BEGINNER
RICHARD HENSLEY,RICHARD HENSLEY (IA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD HERDAMEN,RICHARD HERDAMEN (LA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD HERNIMAN,RICHARD HERNIMAN (MS),1182/1182 Singles/Doubles Points ROOKIE
RICHARD HOLLAND,RICHARD HOLLAND (LA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD HOUSTON,RICHARD HOUSTON (OK),1800/1800 Singles/Doubles Points AMATEUR
RICHARD HUNT,RICHARD HUNT (FL),1800/1800 Singles/Doubles Points AMATEUR
RICHARD JACKS,RICHARD JACKS (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD JANIS,RICHARD JANIS (FL),1800/1800 Singles/Doubles Points AMATEUR
RICHARD LANGFORD,RICHARD LANGFORD (OK),1800/1800 Singles/Doubles Points AMATEUR
RICHARD LOPEZ,RICHARD LOPEZ (CA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD LOYD,RICHARD LOYD (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD MAKINSON,RICHARD MAKINSON (OK),1800/1800 Singles/Doubles Points AMATEUR
RICHARD MANGOLD,RICHARD MANGOLD (OK),1800/1800 Singles/Doubles Points AMATEUR
RICHARD MAPLE,RICHARD MAPLE (NE),1800/1800 Singles/Doubles Points AMATEUR
RICHARD MARSH,RICHARD MARSH (GB),2325/2192 Singles/Doubles Points EXPERT
RICHARD MCMAHON,RICHARD MCMAHON (LA),1182/1182 Singles/Doubles Points ROOKIE
RICHARD MIYASATO,RICHARD MIYASATO (AK),1800/1800 Singles/Doubles Points AMATEUR
Richard Moore,Richard Moore (),1400/1750 Singles/Doubles Points AMATEUR
Richard Moore,Richard Moore (),1400/1750 Singles/Doubles Points AMATEUR
RICHARD MOUTON,RICHARD MOUTON (LA),1182/1182 Singles/Doubles Points ROOKIE
RICHARD NAGUMATSU,RICHARD NAGUMATSU (HI),1800/1800 Singles/Doubles Points AMATEUR
RICHARD NEAGLE,RICHARD NEAGLE (LA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD OGANDO,RICHARD OGANDO (TX),2312/2278 Singles/Doubles Points EXPERT
RICHARD OLIN,RICHARD OLIN (MN),1800/1800 Singles/Doubles Points AMATEUR
RICHARD PALMER,RICHARD PALMER (NV),1800/1800 Singles/Doubles Points AMATEUR
RICHARD PANGBURN,RICHARD PANGBURN (NY),1800/1800 Singles/Doubles Points AMATEUR
RICHARD PARKER,RICHARD PARKER (OK),1182/1182 Singles/Doubles Points ROOKIE
RICHARD PAWLIK,RICHARD PAWLIK (IL),1800/1800 Singles/Doubles Points AMATEUR
RICHARD PENA,RICHARD PENA (AZ),1800/1800 Singles/Doubles Points AMATEUR
Richard Potts,Richard Potts (England),1600/1600 Singles/Doubles Points AMATEUR
RICHARD REAMS,RICHARD REAMS (FL),1800/1800 Singles/Doubles Points AMATEUR
Richard Reijntjens,Richard Reijntjens (Heerlen),1600/1600 Singles/Doubles Points AMATEUR
RICHARD REYNA,RICHARD REYNA (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD RIDLEY,RICHARD RIDLEY (VA),1182/1182 Singles/Doubles Points ROOKIE
RICHARD ROSE,RICHARD ROSE (GA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD ROSS,RICHARD ROSS (CA),1904/2215 Singles/Doubles Points EXPERT
Richard Rowley,Richard Rowley (UT),802/802 Singles/Doubles Points BEGINNER
RICHARD SACCA,RICHARD SACCA (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD SADDLEMIRE,RICHARD SADDLEMIRE (NY),1800/1800 Singles/Doubles Points AMATEUR
RICHARD Saint LOUIS,RICHARD Saint LOUIS (NY),1800/1800 Singles/Doubles Points AMATEUR
RICHARD SCOTT,RICHARD SCOTT (MA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD SHEPHERD,RICHARD SHEPHERD (IL),1101/1618 Singles/Doubles Points AMATEUR
RICHARD SHERRY,RICHARD SHERRY (OK),1800/1800 Singles/Doubles Points AMATEUR
RICHARD STEVENS,RICHARD STEVENS (NC),1182/1182 Singles/Doubles Points ROOKIE
RICHARD STORY,RICHARD STORY (TX),1600/1640 Singles/Doubles Points AMATEUR
RICHARD SYLVESTER,RICHARD SYLVESTER (LA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD TENCH,RICHARD TENCH (BC),1800/1800 Singles/Doubles Points AMATEUR
RICHARD TRAVIS,RICHARD TRAVIS (MO),1182/1182 Singles/Doubles Points ROOKIE
RICHARD TROST,RICHARD TROST (BC),1800/1800 Singles/Doubles Points AMATEUR
RICHARD VALDEZ,RICHARD VALDEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
RICHARD VIRGO,RICHARD VIRGO (CA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD WALLACE,RICHARD WALLACE (AR),1800/1800 Singles/Doubles Points AMATEUR
Richard Warmoth,Richard Warmoth (TX),801/801 Singles/Doubles Points BEGINNER
RICHARD WATSON,RICHARD WATSON (OK),1800/1800 Singles/Doubles Points AMATEUR
RICHARD WEST,RICHARD WEST (AR),1800/1800 Singles/Doubles Points AMATEUR
RICHARD WHITE,RICHARD WHITE (AL),1800/1800 Singles/Doubles Points AMATEUR
RICHARD WIGHT,RICHARD WIGHT (TX),4360/4440 Singles/Doubles Points PRO
RICHARD WILBER,RICHARD WILBER (CA),1800/1800 Singles/Doubles Points AMATEUR
RICHARD WILKINSON,RICHARD WILKINSON (MO),1182/1182 Singles/Doubles Points ROOKIE
Richard Williamson,Richard Williamson (NC),2155/2258 Singles/Doubles Points EXPERT
RICHARD WITTER,RICHARD WITTER (MI),1800/1800 Singles/Doubles Points AMATEUR
RICHARDS KAPOSTIN,RICHARDS KAPOSTIN (ON),1800/1800 Singles/Doubles Points AMATEUR
Richie Caves,Richie Caves (NY),400/400 Singles/Doubles Points JUNIOR AMATEUR
Richie Shields,Richie Shields (IN),801/801 Singles/Doubles Points BEGINNER
RICHIE TREIS,RICHIE TREIS (MO),1800/1800 Singles/Doubles Points AMATEUR
RICK ALLERTON,RICK ALLERTON (MN),1800/1800 Singles/Doubles Points AMATEUR
RICK ALLISON,RICK ALLISON (OK),1800/1800 Singles/Doubles Points AMATEUR
RICK APPLETON,RICK APPLETON (TX),1182/1182 Singles/Doubles Points ROOKIE
RICK ARENAL,RICK ARENAL (FL),1800/1800 Singles/Doubles Points AMATEUR
RICK BAGDOHN,RICK BAGDOHN (MA),1182/1182 Singles/Doubles Points ROOKIE
RICK BALLARD,RICK BALLARD (MO),1800/1800 Singles/Doubles Points AMATEUR
RICK BENTLEY,RICK BENTLEY (NY),1182/1182 Singles/Doubles Points ROOKIE
Rick Bergeron,Rick Bergeron (),1800/1800 Singles/Doubles Points AMATEUR
RICK BRADLEY,RICK BRADLEY (OH),1182/1182 Singles/Doubles Points ROOKIE
RICK BRESSEL,RICK BRESSEL (AL),1800/1800 Singles/Doubles Points AMATEUR
RICK BROADHURST,RICK BROADHURST (OK),1800/1800 Singles/Doubles Points AMATEUR
RICK CALDWELL,RICK CALDWELL (FL),1800/1800 Singles/Doubles Points AMATEUR
RICK CHAPMAN,RICK CHAPMAN (NY),2166/2166 Singles/Doubles Points EXPERT
RICK CHILCOTE,RICK CHILCOTE (FL),1800/1800 Singles/Doubles Points AMATEUR
RICK CLEMONS,RICK CLEMONS (TX),1800/1800 Singles/Doubles Points AMATEUR
RICK COOK,RICK COOK (WA),2264/2264 Singles/Doubles Points EXPERT
RICK CORDOVA,RICK CORDOVA (TX),1978/2218 Singles/Doubles Points EXPERT
RICK CORTOPASSI,RICK CORTOPASSI (TX),1800/1800 Singles/Doubles Points AMATEUR
RICK COUCH,RICK COUCH (IN),1182/1182 Singles/Doubles Points ROOKIE
RICK CRANFORD,RICK CRANFORD (NC),1800/1800 Singles/Doubles Points AMATEUR
RICK DAILEY,RICK DAILEY (CO),1182/1182 Singles/Doubles Points ROOKIE
RICK DELL,RICK DELL (GA),2943/2193 Singles/Doubles Points EXPERT
RICK DOMINGUEZ,RICK DOMINGUEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
Rick Dunn,Rick D Dunn (OH),1182/1182 Singles/Doubles Points ROOKIE
RICK DYSINGER,RICK DYSINGER (MI),1800/1800 Singles/Doubles Points AMATEUR
RICK ECKERT,RICK ECKERT (CO),1800/1800 Singles/Doubles Points AMATEUR
Rick Edwards,DERRICK EDWARDS (FL),1832/1800 Singles/Doubles Points AMATEUR
RICK EMMERICH,DERRICK EDWARDS (FL),1832/1800 Singles/Doubles Points AMATEUR
RICK FORTH,RICK EMMERICH (MX),1848/1784 Singles/Doubles Points AMATEUR
RICK FRANKS,"RICK ""wildcard"" A FRANKS (MO)",1182/1182 Singles/Doubles Points ROOKIE
RICK GILBERT,RICK GILBERT (WA),1800/1800 Singles/Doubles Points AMATEUR
Rick Grollinger,Rick Grollinger (FL),1400/1400 Singles/Doubles Points ROOKIE
RICK GULLEDGE,RICK GULLEDGE (OK),1800/1800 Singles/Doubles Points AMATEUR
Rick Hanssen,Rick Hanssen (),2100/2100 Singles/Doubles Points EXPERT
Rick Havertape,Rick Havertape (WI),1800/1800 Singles/Doubles Points AMATEUR
RICK HAYWORTH,RICK HAYWORTH (KY),1182/1182 Singles/Doubles Points ROOKIE
RICK HENDRICKSON,RICK HENDRICKSON (FL),1800/1800 Singles/Doubles Points AMATEUR
RICK HENSLEY,RICK HENSLEY (IA),1800/1800 Singles/Doubles Points AMATEUR
RICK HERNANDEZ,RICK HENSLEY (IA),1800/1800 Singles/Doubles Points AMATEUR
Rick Hofer,RICK HERNANDEZ (CA),1824/1800 Singles/Doubles Points AMATEUR
RICK HOFFMAN,RICK HOFFMAN (MN),1800/1800 Singles/Doubles Points AMATEUR
RICK HOLLY,RICK HOLLY (NY),1800/1800 Singles/Doubles Points AMATEUR
RICK HONE,RICK HONE (WA),1800/1800 Singles/Doubles Points AMATEUR
RICK HOUGHTON,RICK HOUGHTON (OH),1800/1800 Singles/Doubles Points AMATEUR
Rick Huffer,Rick Huffer (IN),1182/1182 Singles/Doubles Points ROOKIE
RICK HYRE,RICK HYRE (OH),1182/1182 Singles/Doubles Points ROOKIE
RICK JOINER,RICK JOINER (OK),1800/1800 Singles/Doubles Points AMATEUR
RICK KING,RICK KING (TX),1800/1800 Singles/Doubles Points AMATEUR
RICK KIPPEN,RICK KIPPEN (),1182/1182 Singles/Doubles Points ROOKIE
RICK KISELEWSKI,RICK KISELEWSKI (IL),1182/1182 Singles/Doubles Points ROOKIE
RICK KNOTH,RICK KNOTH (FL),2166/2166 Singles/Doubles Points EXPERT
RICK KRAUS,RICK KRAUS (WI),1182/1182 Singles/Doubles Points ROOKIE
RICK LAFLEUR,RICK LAFLEUR (NC),1800/1800 Singles/Doubles Points AMATEUR
RICK LANCASTER,RICK LANCASTER (IN),1800/1800 Singles/Doubles Points AMATEUR
RICK LAWSON,RICK LAWSON (WA),1800/1800 Singles/Doubles Points AMATEUR
RICK LEVERETTE,RICK LEVERETTE (MS),801/801 Singles/Doubles Points BEGINNER
RICK LINDGREN,RICK LINDGREN (NM),1200/1220 Singles/Doubles Points ROOKIE
RICK LONGORIA,RICK LONGORIA (KY),1182/1182 Singles/Doubles Points ROOKIE
RICK LOPEZ,Patrick Lopez Fernandez (),2600/2600 Singles/Doubles Points EXPERT
RICK LUCAS,RICK LUCAS (CO),2166/2166 Singles/Doubles Points EXPERT
RICK LYNN,RICK LYNN (IN),1800/1800 Singles/Doubles Points AMATEUR
RICK MACIAS,RICK MACIAS (NC),5198/5268 Singles/Doubles Points MASTER
RICK MARBELSTEIN,RICK MARBELSTEIN (CA),1800/1800 Singles/Doubles Points AMATEUR
RICK MARMELSTEIN,RICK MARMELSTEIN (CA),1824/1800 Singles/Doubles Points AMATEUR
Rick Matthews,Rick Matthews (),599/599 Singles/Doubles Points JUNIOR PRO
RICK MATTHEWS,Rick Matthews (),599/599 Singles/Doubles Points JUNIOR PRO
RICK MAZZEI,RICK MAZZEI (IL),1800/1800 Singles/Doubles Points AMATEUR
RICK MCPHERSON,RICK MCPHERSON (MD),1182/1182 Singles/Doubles Points ROOKIE
RICK MIZE,RICK MIZE (AR),1800/1800 Singles/Doubles Points AMATEUR
Rick Moeller,Rick Moeller (MI),4170/4148 Singles/Doubles Points PRO
RICK MOSLEY,RICK MOSLEY (MO),1800/1800 Singles/Doubles Points AMATEUR
RICK MUNEKATA,RICK MUNEKATA (CA),1800/1800 Singles/Doubles Points AMATEUR
RICK NIETO,RICK NIETO (CA),1800/1800 Singles/Doubles Points AMATEUR
RICK OLPS,RICK OLPS (IL),1800/1886 Singles/Doubles Points AMATEUR
RICK OTERO,RICK OTERO (CA),1800/1800 Singles/Doubles Points AMATEUR
RICK PARRIS,RICK PARRIS (XX),1800/1800 Singles/Doubles Points AMATEUR
RICK PASSMORE,RICK PASSMORE (NC),1800/1800 Singles/Doubles Points AMATEUR
RICK PATES,RICK PATES (IA),1800/1800 Singles/Doubles Points AMATEUR
RICK PATTERSON,RICK PATTERSON (OH),1800/1800 Singles/Doubles Points AMATEUR
RICK PATTISON,RICK PATTISON (MI),1800/1800 Singles/Doubles Points AMATEUR
RICK PETRO,RICK PATTISON (MI),1800/1800 Singles/Doubles Points AMATEUR
RICK PETTIS,RICK PETRO (GA),1800/1800 Singles/Doubles Points AMATEUR
Rick Pfleger,Rick Pfleger (PA),1182/1182 Singles/Doubles Points ROOKIE
Rick Pomeroy,Rick Pomeroy (NV),1716/1700 Singles/Doubles Points AMATEUR
RICK REESE,RICK REESE (CO),2408/2186 Singles/Doubles Points EXPERT
RICK REGAN,RICK REGAN (KS),1800/1800 Singles/Doubles Points AMATEUR
RICK ROACH,RICK ROACH (TX),1800/1800 Singles/Doubles Points AMATEUR
RICK ROBARDS,RICK ROBARDS (CA),1800/1800 Singles/Doubles Points AMATEUR
RICK RODRIQUEZ,RICK RODRIQUEZ (CA),1800/1800 Singles/Doubles Points AMATEUR
RICK ROEBUCK,RICK ROEBUCK (TX),801/801 Singles/Doubles Points BEGINNER
RICK RUPPERT,RICK RUPPERT (IN),1800/1800 Singles/Doubles Points AMATEUR
Rick Russell,RICK RUSSELL (FL),1600/1600 Singles/Doubles Points AMATEUR
RICK RUSSELL,RICK RUSSELL (FL),1600/1600 Singles/Doubles Points AMATEUR
RICK RUTLEDGE,RICK RUTLEDGE (IN),1800/1800 Singles/Doubles Points AMATEUR
RICK SALISBURY,RICK SALISBURY (NY),1800/1800 Singles/Doubles Points AMATEUR
Rick Schulten,Rick Schulten (MO),1182/1182 Singles/Doubles Points ROOKIE
RICK SHARP,RICK SHARP (NC),1800/1800 Singles/Doubles Points AMATEUR
RICK SHAW,RICK SHAW (GA),1182/1182 Singles/Doubles Points ROOKIE
RICK SHOULDERS,RICK SHOULDERS (IN),1800/1800 Singles/Doubles Points AMATEUR
RICK SIMPSON,RICK SIMPSON (OK),1800/1800 Singles/Doubles Points AMATEUR
RICK SKIBINSKI,RICK SKIBINSKI (NY),1800/1800 Singles/Doubles Points AMATEUR
Rick Smitson,Rick Smitson (OH),1182/1182 Singles/Doubles Points ROOKIE
RICK SNIDER,Rick Smitson (OH),1182/1182 Singles/Doubles Points ROOKIE
RICK SORGMANN,RICK SNIDER (MD),1182/1182 Singles/Doubles Points ROOKIE
RICK STACEY,RICK STACEY (OR),1800/1800 Singles/Doubles Points AMATEUR
Rick Staires,Rick L Staires (OK),801/811 Singles/Doubles Points BEGINNER
Rick Stepp,Rick Stepp (MO),1800/1800 Singles/Doubles Points AMATEUR
RICK STRAUD,RICK STRAUD (WI),1800/1800 Singles/Doubles Points AMATEUR
RICK TESSNEER,RICK TESSNEER (OK),1800/1800 Singles/Doubles Points AMATEUR
RICK TIBBITS,RICK TIBBITS (MI),1800/1800 Singles/Doubles Points AMATEUR
RICK TILLER,RICK TILLER (TX),1800/1800 Singles/Doubles Points AMATEUR
RICK VANDOURIS,RICK VANDOURIS (WA),1800/1800 Singles/Doubles Points AMATEUR
Rick Vazquez,RICK VANDOURIS (WA),1800/1800 Singles/Doubles Points AMATEUR
RICK WAGGONER,Rick Vazquez (TX),801/825 Singles/Doubles Points BEGINNER
RICK WALDO,RICK WALDO (AR),1800/1800 Singles/Doubles Points AMATEUR
RICK WALKO,RICK WALDO (AR),1800/1800 Singles/Doubles Points AMATEUR
RICK WARTNOW,RICK WALKO (TX),1600/1600 Singles/Doubles Points AMATEUR
RICK WATSON,RICK WATSON (TX),1800/1800 Singles/Doubles Points AMATEUR
Rick Wensink,Rick Wensink (Moensbroeck),3100/3100 Singles/Doubles Points PRO
RICK WHITLOW,RICK WHITLOW (AL),1800/1800 Singles/Doubles Points AMATEUR
RICK WHITTINGTON,RICK WHITLOW (AL),1800/1800 Singles/Doubles Points AMATEUR
RICK WILHOIT,RICK WHITTINGTON (TX),1800/1800 Singles/Doubles Points AMATEUR
RICK WOOD,RICK WOOD (CA),1800/1800 Singles/Doubles Points AMATEUR
Rick Yepez,Rick Yepez (WA),1800/1800 Singles/Doubles Points AMATEUR
RICK YUNGER,RICK YUNGER (MN),1800/1800 Singles/Doubles Points AMATEUR
RICK ZABIENSKI,RICK ZABIENSKI (OK),801/801 Singles/Doubles Points BEGINNER
RICK ZAMARRIPA,RICK ZAMARRIPA (OK),1800/1800 Singles/Doubles Points AMATEUR
Rick Ziegler,Patrick Ziegler (Wiesbach),1600/1600 Singles/Doubles Points AMATEUR
RICK ZUBIL,RICK ZUBIL (OH),1800/1800 Singles/Doubles Points AMATEUR
RICKEY MOORE,RICKEY W MOORE (MI),801/801 Singles/Doubles Points BEGINNER
RICKEY PETRY,RICKEY PETRY (VA),1182/1182 Singles/Doubles Points ROOKIE
RICKEY VESPER,RICKEY VESPER (TX),1800/1800 Singles/Doubles Points AMATEUR
RICKY A. TEAGUE,RICKY A. TEAGUE (TX),1800/1800 Singles/Doubles Points AMATEUR
RICKY AVILA,RICKY AVILA (CA),1800/1800 Singles/Doubles Points AMATEUR
RICKY BALDERA,RICKY BALDERA (TX),1800/1800 Singles/Doubles Points AMATEUR
RICKY BAUCOM,RICKY BAUCOM (OK),1800/1800 Singles/Doubles Points AMATEUR
RICKY BENITEZ,RICKY BENITEZ (FL),3100/3100 Singles/Doubles Points PRO
RICKY BREASSEALE,RICKY BREASSEALE (AL),1182/1182 Singles/Doubles Points ROOKIE
RICKY CABEZAS,RICKY CABEZAS (TX),1800/1800 Singles/Doubles Points AMATEUR
RICKY CANLAS,RICKY CANLAS (LA),801/801 Singles/Doubles Points BEGINNER
RICKY CHUN,RICKY CHUN (AZ),1599/897 Singles/Doubles Points AMATEUR
RICKY DUSEK,RICKY DUSEK (OK),1800/1800 Singles/Doubles Points AMATEUR
RICKY GARCIA,RICKY GARCIA (TX),2166/2166 Singles/Doubles Points EXPERT
RICKY GARNER,RICKY GARNER (TX),1800/1800 Singles/Doubles Points AMATEUR
Ricky Hacking,Ricky Hacking (UT),800/800 Singles/Doubles Points BEGINNER
RICKY HALL,RICKY HALL (TX),1800/1800 Singles/Doubles Points AMATEUR
RICKY HORTON,RICKY HORTON (GA),1182/1182 Singles/Doubles Points ROOKIE
RICKY KNIGHTON,RICKY KNIGHTON (MS),1182/1182 Singles/Doubles Points ROOKIE
RICKY LATHAM,RICKY LATHAM (MS),1182/1182 Singles/Doubles Points ROOKIE
RICKY MARTIN,RICKY MARTIN (NC),1800/1800 Singles/Doubles Points AMATEUR
RICKY MCCORD,RICKY MCCORD (WI),1800/1800 Singles/Doubles Points AMATEUR
RICKY NAEGLE,RICKY NAEGLE (WA),2264/2240 Singles/Doubles Points EXPERT
RICKY RANDOLPH,RICKY RANDOLPH (OK),1800/1800 Singles/Doubles Points AMATEUR
RICKY RIKEMAN,RICKY RIKEMAN (TX),2166/2166 Singles/Doubles Points EXPERT
RICKY SIKES,RICKY SIKES (LA),1800/1800 Singles/Doubles Points AMATEUR
RICKY STUCKY,RICKY STUCKY (FL),1832/2021 Singles/Doubles Points EXPERT
RICKY TITTLE,RICKY TITTLE (KY),801/801 Singles/Doubles Points BEGINNER
RICKY TOMBERLIN,RICKY TOMBERLIN (TX),1800/1800 Singles/Doubles Points AMATEUR
RICKY TRAN,RICKY TRAN (TX),1182/1182 Singles/Doubles Points ROOKIE
RICKY V. SMITH,RICKY V. SMITH (AL),1800/1800 Singles/Doubles Points AMATEUR
RICKY VAN DYK,RICKY VAN DYK (NL),1800/1800 Singles/Doubles Points AMATEUR
RICO DIXON,RICO DIXON (MN),1800/1800 Singles/Doubles Points AMATEUR
Ridge Allen,Ridge Allen (TX),801/801 Singles/Doubles Points BEGINNER
Rieky Geltz,Rieky Geltz (OK),1200/1200 Singles/Doubles Points ROOKIE
RIGO BORGES,RIGO BORGES (CO),1800/1800 Singles/Doubles Points AMATEUR
RIID KIDO,RIID KIDO (HI),1800/1800 Singles/Doubles Points AMATEUR
Rik Grollinger,Rik Grollinger (FL),1000/1000 Singles/Doubles Points ROOKIE
RIK ONCKELINK,RIK ONCKELINK (BE),1800/1800 Singles/Doubles Points AMATEUR
RIKI PITTDMAN,RIKI PITTDMAN (TX),1182/1182 Singles/Doubles Points ROOKIE
Rikko Tuitjer,Rikko Tuitjer (Hamburg),2100/2100 Singles/Doubles Points EXPERT
RILEY HOLDER,RILEY HOLDER (OK),1800/1800 Singles/Doubles Points AMATEUR
RIND SMIDT,RIND SMIDT (CO),1800/1800 Singles/Doubles Points AMATEUR
RINK COLLYEAR,RINK COLLYEAR (IN),1800/1800 Singles/Doubles Points AMATEUR
