Randy Hood,Randy Hood (IA),1800/1800 Singles/Doubles Points AMATEUR
RANDY HUFFORD,RANDY HUFFORD (IL),1182/1182 Singles/Doubles Points ROOKIE
RANDY HUGHES,RANDY HUGHES (CA),1800/1800 Singles/Doubles Points AMATEUR
RANDY HUTSON,RANDY HUTSON (CO),1800/1800 Singles/Doubles Points AMATEUR
RANDY IVEY,RANDY IVEY (FL),1800/1800 Singles/Doubles Points AMATEUR
RANDY JAEGERS,RANDY JAEGERS (IL),1800/1800 Singles/Doubles Points AMATEUR
RANDY JETT,RANDY JETT (AL),1800/1800 Singles/Doubles Points AMATEUR
RANDY JOLLY,RANDY JOLLY (TX),1800/1800 Singles/Doubles Points AMATEUR
RANDY KIDD,RANDY KIDD (KS),1800/1800 Singles/Doubles Points AMATEUR
RANDY KLITZ,RANDY KLITZ (MI),2317/2218 Singles/Doubles Points EXPERT
RANDY KLOTTER,RANDY KLOTTER (IL),1800/1800 Singles/Doubles Points AMATEUR
RANDY KNODE,RANDY KNODE (WI),1800/1800 Singles/Doubles Points AMATEUR
RANDY LANDRY,RANDY LANDRY (FL),1800/1800 Singles/Doubles Points AMATEUR
RANDY LARSON,RANDY LARSON (TX),1800/1800 Singles/Doubles Points AMATEUR
RANDY LAUDERMILK,RANDY LAUDERMILK (OK),1800/1800 Singles/Doubles Points AMATEUR
RANDY LIPPERT,RANDY LIPPERT (IA),1182/1182 Singles/Doubles Points ROOKIE
RANDY LOWN,RANDY LOWN (NY),1800/1800 Singles/Doubles Points AMATEUR
RANDY MADEWELL,RANDY MADEWELL (OK),1800/1800 Singles/Doubles Points AMATEUR
RANDY MAHURIN,RANDY MAHURIN (TX),1400/1400 Singles/Doubles Points ROOKIE
Randy Mangel,Randy Mangel (CO),1159/1117 Singles/Doubles Points ROOKIE
RANDY MCCAALL,RANDY MCCAALL (TX),1182/1182 Singles/Doubles Points ROOKIE
RANDY MCCALL,RANDY MCCALL (MS),1664/1681 Singles/Doubles Points AMATEUR
Randy McDonald,Randy McDonald (TX),801/801 Singles/Doubles Points BEGINNER
RANDY MICKLER,RANDY MICKLER (TX),1182/1182 Singles/Doubles Points ROOKIE
